;station_name;station_id;lat;lon
228;United Medical Center;31823;38.8357085;-76.98310550000001
229;Crystal Dr & Potomac Ave;31925;38.848304;-77.05122
230;19th & Savannah St SE;31815;38.84623;-76.97703
231;Eads St & 15th St S;31000;38.858971000000004;-77.05323
232;19th & E Street NW;31206;38.8952;-77.0436
233;Georgia & Missouri Ave NW;31411;38.961339;-77.027855
234;10th & K St NW;31263;38.9024;-77.02622
235;12th & U St NW;31268;38.916787;-77.028139
236;Rosslyn Metro / Wilson Blvd & Ft Myer Dr;31015;38.8946;-77.072305
237;Pershing Dr & Wayne St;31065;38.880705;-77.08596
238;Eisenhower Ave & Ike Dr;31930;38.802738;-77.082463
239;Washington Blvd & Walter Reed Dr ;31073;38.873219;-77.082104
240;Good Hope Rd & 14th St SE;31803;38.866611;-76.985238
241;Potomac Ave & 35th St S;31052;38.844015;-77.050537
242;Anacostia Park;31820;38.87335;-76.9834
243;Kenilworth Terrace & Hayes St. NE;31717;38.9004915;-76.94721
244;Westover Library / Washington Blvd & N McKinley Rd;31921;38.886047999999995;-77.142317
245;Woodglen Dr & Executive Blvd;32078;39.04320283333333;-77.11351066666667
246;Temporary Rd & Old Reston Ave;32218;38.960084;-77.353414
247;Columbia Pike & S Orme St;31066;38.8673445;-77.0723465
248;Reston YMCA;32219;38.955344333333336;-77.368431
249;North Shore & Cameron Crescent Dr/Crescent Apartments;32209;38.970046;-77.338686
250;Fleet St & Ritchie Pkwy;32032;39.07635583333333;-77.14141366666666
251;Stewart & April;32090;39.044944;-76.981155
252;Executive Blvd & E Jefferson St;32079;39.04873;-77.1257
253;Perry & 35th St;32404;38.936146;-76.96002383333334
254;7th & E St SW;31294;38.88345;-77.021741
255;21st St & N Pierce St;31093;38.898984000000006;-77.078317
256;Rockville Metro East;32044;39.085394;-77.145803
257;New Dominion Pkwy & Fountain Dr;32212;38.960574;-77.356324
258;1st & O St NW;31519;38.908643;-77.012365
259;Maine Ave & 7th St SW;31609;38.878693;-77.023054
260;5th & K St NW;31600;38.903040000000004;-77.01902700000001
261;Eads St & 12th St S;31071;38.862753000000005;-77.05428
262;Rhode Island & Montana Ave NE;31526;38.9243;-76.9859
263;13th & U St NW;31132;38.916936;-77.02963100000001
264;21st St & Pennsylvania Ave NW;31252;38.901539;-77.046564
265;11th & S St NW;31280;38.913761;-77.027025
266;New Hampshire Ave & East-West Hwy;32412;38.97420533333333;-76.995221
267;14th & L St NW;31283;38.903658;-77.03173699999999
268;14th & Q St NW;31327;38.910674;-77.03188
269;14th & Upshur St NW;31406;38.942475;-77.032678
270;Park Rd & Holmead Pl NW;31602;38.9308;-77.0315
271;14th & R St NW;31202;38.913046;-77.03200799999999
272;Silver Spring Transit Center - Top Level;32034;38.99403766666666;-77.0303995
273;New York Ave & Hecht Ave NE;31518;38.915603999999995;-76.983683
274;15th St & Constitution Ave NW;31321;38.892244;-77.033234
275;Park Run & Onyx Dr;32229;38.92755;-77.226644
276;Good Hope & Naylor Rd SE;31700;38.86000416666667;-76.9679
277;Potomac Ave & Main Line Blvd;31910;38.822738;-77.049265
278;Monroe Ave & Leslie Ave;31087;38.820932;-77.053096
279;Braddock Rd Metro;31047;38.81460083333333;-77.05278299999999
280;M St & Pennsylvania Ave NW;31246;38.905126;-77.056887
281;Shirlington Transit Center / Quincy St & Randolph St;31076;38.839912;-77.08708299999999
282;Barton St & 10th St N;31050;38.88504833333333;-77.08782783333334
283;TJ Cmty Ctr / 2nd St & S Old Glebe Rd;31074;38.869417999999996;-77.095596
284;N Lynn St & Fairfax Dr;31917;38.89386;-77.070862
285;Lincoln Park / 13th & East Capitol St NE ;31619;38.890461;-76.988355
286;Wilson Blvd & N Troy St;31924;38.89249766666666;-77.08214833333334
287;Falls Church City Hall / Park Ave & Little Falls St;32608;38.885434000000004;-77.17360500000001
288;17th & K St NW;31213;38.90276;-77.03863
289;7th St & Massachusetts Ave NE;31647;38.89222;-76.99602
290;Lynn St & 19th St North;31014;38.897315;-77.070993
291;4th & M St SW;31108;38.876697;-77.01789699999999
292;23rd & E St NW ;31260;38.896106333333336;-77.04978033333333
293;Ohio Dr & West Basin Dr SW / MLK & FDR Memorials;31240;38.88412;-77.04656999999999
294;Anacostia Ave & Benning Rd NE / River Terrace ;31708;38.896544;-76.96011999999999
295;Calvert St & Woodley Pl NW;31121;38.923583;-77.050046
296;St Asaph & Pendleton St;31043;38.810741;-77.044632
297;16th & Harvard St NW;31103;38.92614616666667;-77.03664916666666
298;US Dept of State / Virginia Ave & 21st St NW;31220;38.894919;-77.046587
299;Woodley Park Metro / Calvert St & Connecticut Ave NW;31323;38.923389;-77.051833
300;19th & K St NW;31253;38.902204;-77.04337
301;14th & Harvard St NW;31105;38.9268;-77.0322
302;11th & F St NW;31262;38.897857;-77.026975
303;Georgia Ave & Morton St NW;31419;38.932128000000006;-77.0235
304;1st & K St SE;31628;38.87859233333333;-77.005775
305;Wiehle Ave & Reston Station Blvd;32215;38.94661233333333;-77.33941566666667
306;Mount Vernon Ave & Bruce St;31912;38.841291;-77.06309300000001
307;Georgia Ave & Emerson St NW;31405;38.949662;-77.027333
308;Yuma St & Tenley Circle NW;31316;38.9461995;-77.080437
309;Commonwealth Ave & Oak St;31906;38.812711;-77.061715
310;Offutt Ln & Chevy Chase Dr;32029;38.97715166666666;-77.0946435
311;Needwood Rd & Eagles Head Ct;32018;39.123513;-77.15741
312;Monroe St & Monroe Pl;32017;39.083702;-77.14907933333333
313;Queens Chapel & Hamilton St;32410;38.9546;-76.9595
314;23rd & M St NW;31128;38.905303;-77.050264
315;1st & Rhode Island Ave NW;31506;38.915417;-77.012289
316;M St & New Jersey Ave SE;31208;38.876383333333344;-77.0037185
317;22nd St & Constitution Ave NW;31292;38.892441;-77.048947
318;7th & F St NW / National Portrait Gallery;31232;38.897283;-77.022191
319;Duke St & John Carlyle St;31081;38.804378;-77.060866
320;13th St & Eastern Ave;32006;38.986999999999995;-77.02941700000001
321;Deanwood Rec Center;31711;38.908473;-76.933099
322;L'Enfant Plaza / 7th & C St SW;31218;38.886266;-77.02224100000001
323;Hains Point/Buckeye & Ohio Dr SW;31273;38.87849333333333;-77.03025500000001
324;Crystal Dr & 27th St S;31009;38.848465999999995;-77.051514
325;Crystal Dr & 15th St S;31003;38.860170000000004;-77.049593
326;Potomac Ave & Swann Ave;31916;38.829545;-77.047844
327;Saint Asaph St & Madison St;31097;38.812718;-77.044097
328;Rhode Island Ave & 39th St / Brentwood Arts Exchange;32413;38.93923683333333;-76.95510866666666
329;Old Georgetown Rd & Southwick St;32039;38.999634;-77.109647
330;14th St & Colorado Ave NW;31407;38.956432;-77.032947
331;New Hampshire & Lockwood;32089;39.039102;-76.991824
332;Fleet St & Waterfront St;32406;38.782633000000004;-77.016059
333;Oxon Hill Park & Ride;32407;38.798749;-77.00103
334;Radford St & Osage St;31908;38.8284905;-77.08603733333334
335;Bethesda Metro / Wisconsin Ave & Old Georgetown Rd;32048;38.984691;-77.094537
336;3rd St & Riggs Rd NE;31412;38.957463;-77.002239
337;1st & D St SE;31643;38.884916;-77.005965
338;Baltimore Ave & Van Buren St / Riverdale Park Station;32402;38.969581;-76.937349
339;47th & Elm St;32021;38.982456;-77.09199100000001
340;20th St & Florida Ave NW;31110;38.9154;-77.0446
341;Westpark & Park Run Dr;32207;38.928919;-77.225394
342;21st St & Constitution Ave NW;31261;38.892459;-77.04656700000001
343;2nd St & Massachusetts Ave NE;31641;38.894971999999996;-77.003135
344;Capitol Ave & Kendall St NE;31530;38.910993;-76.985854
345;Prince St & Union St;31041;38.803124;-77.040363
346;George Mason Dr & Wilson Blvd;31036;38.87887;-77.1207
347;6th & K St NE;31645;38.902931;-76.99840400000001
348;4th & C St SW;31243;38.886371999999994;-77.017701
349;Shady Grove Metro West;32045;39.119765;-77.166093
350;Georgia Ave & Spring St;32035;38.999388;-77.03155500000001
351;Lyttonsville Rd & Lyttonsville Pl;32054;38.999682;-77.05117983333334
352;Columbia Pike & S Taylor St;31923;38.85847483333333;-77.10374333333333
353;Georgetown Harbor / 30th St NW;31215;38.902295333333335;-77.05909583333333
354;Gravelly Point;31064;38.865029;-77.039511
355;Crystal Dr & 23rd St S;31011;38.8533;-77.0498
356;7th & S St NW;31130;38.914204;-77.02217399999999
357;Maryland Ave & 17th St NE;31656;38.901934999999995;-76.978627
358;Wheaton Library & Community Rec Center;32084;39.04726216666667;-77.05111816666667
359;Amherst Ave & Elkins St;32063;39.044887;-77.047788
360;Troy St & 26th St S;31056;38.847977;-77.07510400000001
361;Washington Blvd & 7th St N;31032;38.88081;-77.09079200000001
362;Constitution Ave & 2nd St NW/DOL;31271;38.892275;-77.013917
363;Citadel Ave & McGrath Blvd;32076;39.04895316666666;-77.1093505
364;Tenleytown / Wisconsin Ave & Albemarle St NW;31303;38.94755283333333;-77.07933833333334
365;Fishers Ln & Rock Creek Mill Rd;32080;39.0629;-77.113454
366;1st & S Capitol St SE / Oxon Run Trail;31817;38.824481;-77.00549699999999
367;S Arlington Mill Dr & Campbell Ave;31060;38.84235;-77.08955933333333
368;Dennis Ave & Amherst Ave;32022;39.025387;-77.044563
369;Tysons Corner Station;32204;38.920939000000004;-77.222115
370;Virginia Square Metro / Monroe St & 9th St N;31024;38.882788;-77.103148
371;Carroll & Westmoreland Ave;32025;38.975;-77.01120999999999
372;Pershing Dr & N George Mason Dr;31069;38.871821999999995;-77.107906
373;18th St & Pennsylvania Ave NW;31242;38.89968;-77.041539
374;Randle Circle & Minnesota Ave SE;31702;38.878;-76.9607
375;N. Beauregard St. & Berkley St.;31928;38.840796999999995;-77.108938
376;Division Ave & Foote St NE;31713;38.89741016666667;-76.92589883333333
377;Mississippi Ave & 19th St SE / THEARC;31814;38.84377;-76.97556999999999
